Gene,Protein,Description,p_Value,Log2FC
Exosc7,EXOS7_MOUSE|Q9D0M0,Exosome complex exonuclease RRP42,8.92E-01,7.20E-03
Exosc9,EXOS9_MOUSE|Q9JHI7,Exosome complex component RRP45,8.19E-04,5.49E-01
Exph5,EXPH5_MOUSE|Q0VAV2,Exophilin-5,1.04E-02,8.81E-01
Ezr,EZRI_MOUSE|P26040,Ezrin,3.04E-01,1.47E-01
Fam102a,F102A_MOUSE|Q78T81,Protein FAM102A,3.93E-03,5.94E-01
St13,F10A1_MOUSE|Q99L47,Hsc70-interacting protein,5.78E-03,6.46E-01
Fam110b,F110B_MOUSE|Q8C739,Protein FAM110B,5.81E-04,1.64E+00
Fam114a2,F1142_MOUSE|Q8VE88,Protein FAM114A2,6.56E-04,1.42E+00
Fam117b,F117B_MOUSE|Q3U3E2,Protein FAM117B,1.03E-03,1.37E+00
FAM120A,F120A_MOUSE|Q6A0A9,Constitutive coactivator of PPAR-gamma-like protein 1,7.54E-04,1.03E+00
Fam120b,F120B_MOUSE|Q6RI63,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,1.11E-03,7.37E-01
Fam120c,F120C_MOUSE|Q8C3F2,Constitutive coactivator of PPAR-gamma-like protein 2,5.00E-04,1.01E+00
Fam126b,F126B_MOUSE|Q8C729,Protein FAM126B,6.49E-04,1.09E+00
Fam131b,F131B_MOUSE|Q3TY60,Protein FAM131B,2.34E-03,1.07E+00
Fam131b,F131B_MOUSE|Q3TY60-2,Protein FAM131B (isoform 2),1.70E-03,1.14E+00
Fam133b,F133B_MOUSE|Q9CVI2,Protein FAM133B,3.11E-02,3.85E-01
Fam135a,F135A_MOUSE|Q6NS59,Protein FAM135A,1.46E-03,1.28E+00
Fam135b,F135B_MOUSE|Q9DAI6,Protein FAM135B,1.24E-03,1.25E+00
Fam163b,F163B_MOUSE|Q8BUM6,Protein FAM163B,6.22E-02,5.29E-01
Fam169a,F169A_MOUSE|Q5XG69,Soluble lamin-associated protein of 75 kDa,5.31E-04,1.49E+00
Fam160a2,F16A2_MOUSE|Q3U2I3,FTS and Hook-interacting protein,1.07E-02,5.68E-01
Fam160b1,F16B1_MOUSE|Q8CDM8,Protein FAM160B1,4.56E-03,6.24E-01
Fam171a2,F1712_MOUSE|A2A699,Protein FAM171A2,1.30E-03,1.19E+00
Fam171b,F171B_MOUSE|Q14CH0,Protein FAM171B,2.45E-03,1.03E+00
Fam177a1,F177A_MOUSE|Q8BR63,Protein FAM177A1,1.37E-03,7.89E-01
Fam189a1,F1891_MOUSE|Q6A044,Protein FAM189A1,4.64E-03,9.01E-01
Fam192a,F192A_MOUSE|Q91WE2,Protein FAM192A,2.48E-03,1.36E+00
Fam196a,F196A_MOUSE|Q3USH1,Protein FAM196A,2.65E-04,1.87E+00
Fam213a,F213A_MOUSE|Q9CYH2,Redox-regulatory protein FAM213A,8.69E-02,5.42E-01
Fam219a,F219A_MOUSE|Q9D772,Protein FAM219A,1.21E-03,1.28E+00
Raph1,F2Z3U3_MOUSE|F2Z3U3,Protein Raph1,9.11E-04,1.32E+00
Ide,F6RPJ9_MOUSE|F6RPJ9,Insulin-degrading enzyme,1.17E-01,5.67E-01
Camk2d,F6RWZ9_MOUSE|F6RWZ9,Calcium/calmodulin-dependent protein kinase type II subunit delta,2.61E-02,6.13E-01
Herc1,F6RXM1_MOUSE|F6RXM1,Protein Herc1,4.67E-03,6.59E-01
Mtss1l,F6S054_MOUSE|F6S054,MTSS1-like protein,5.53E-04,1.50E+00
Ube2j1,F6SPK0_MOUSE|F6SPK0,Ubiquitin-conjugating enzyme E2 J1,4.18E-03,5.76E-01
Braf,F6SZ47_MOUSE|F6SZ47,Serine/threonine-protein kinase B-raf,1.07E-03,1.28E+00
Myo5a,F6TDE5_MOUSE|F6TDE5,Unconventional myosin-Va,2.30E-03,5.63E-01
Lmo7,F6TFN2_MOUSE|F6TFN2,Protein Lmo7,1.22E-03,1.28E+00
Ccdc85a,F6TRJ8_MOUSE|F6TRJ8,Coiled-coil domain-containing protein 85A,1.11E-03,1.31E+00
Mfsd6,F6U3S2_MOUSE|F6U3S2,Major facilitator superfamily domain-containing protein 6,2.15E-02,5.85E-01
Dgkk,F6UUZ3_MOUSE|F6UUZ3,Diacylglycerol kinase,1.07E-03,9.92E-01
Synj1,F6XIX0_MOUSE|F6XIX0,Synaptojanin-1,2.21E-03,6.39E-01
Sbf2,F6ZDC5_MOUSE|F6ZDC5,Protein Sbf2,1.21E-02,5.96E-01
D430041D05Rik,F6ZGR6_MOUSE|F6ZGR6,Protein D430041D05Rik,9.78E-04,1.26E+00
Mtdh,F6ZQL0_MOUSE|F6ZQL0,Protein LYRIC,9.66E-04,1.32E+00
2010300C02Rik,F7B0R9_MOUSE|F7B0R9,Protein 2010300C02Rik,1.61E-03,1.25E+00
Tmem132b,F7BAB2_MOUSE|F7BAB2,Protein Tmem132b,1.65E-03,7.15E-01
Pcdh1,F7BJK1_MOUSE|F7BJK1,Protein Pcdh1,5.35E-03,8.51E-01
Sec16a,F7BPW6_MOUSE|F7BPW6,Protein Sec16a,4.21E-04,1.37E+00
Synj1,F7CD11_MOUSE|F7CD11,Synaptojanin-1,4.60E-04,7.34E-01
Epn2,F7CUV7_MOUSE|F7CUV7,Epsin-2,5.36E-03,6.81E-01
Ahnak2,F7CVJ5_MOUSE|F7CVJ5,Protein Ahnak2,7.00E-04,1.54E+00
Scn8a,F7D6K4_MOUSE|F7D6K4,Sodium channel protein,7.34E-04,1.04E+00
Ahnak2,F7DBB3_MOUSE|F7DBB3,Protein Ahnak2,8.15E-04,1.45E+00
Clasp2,F7DCH5_MOUSE|F7DCH5,CLIP-associating protein 2,6.79E-04,1.15E+00
F8a1,F8I2_MOUSE|Q00558,Factor VIII intron 22 protein,3.04E-03,4.52E-01
Pex5l,F8SLQ1_MOUSE|F8SLQ1,PEX5-related protein,5.12E-04,1.55E+00
Pcdh9,F8VPK8_MOUSE|F8VPK8,Protein Pcdh9,1.79E-03,1.02E+00
Agl,F8VPN4_MOUSE|F8VPN4,Protein Agl,3.15E-03,4.55E-01
Zc3h7b,F8VPP8_MOUSE|F8VPP8,Protein Zc3h7b,1.59E-03,7.35E-01
Usp32,F8VPZ3_MOUSE|F8VPZ3,Ubiquitin carboxyl-terminal hydrolase,8.16E-04,1.03E+00
Fryl,F8VQ05_MOUSE|F8VQ05,Protein Fryl,4.00E-03,6.02E-01
Lama1,F8VQ40_MOUSE|F8VQ40,Laminin subunit alpha-1,9.77E-01,1.36E-01
Ktn1,F8VQC7_MOUSE|F8VQC7,Kinectin,6.86E-04,1.50E+00
Ahcyl2,F8WGT1_MOUSE|F8WGT1,Adenosylhomocysteinase,1.40E-02,5.02E-01
Atp2b2,F8WHB1_MOUSE|F8WHB1,Calcium-transporting ATPase,3.18E-03,8.20E-01
Dip2a,F8WI56_MOUSE|F8WI56,Disco-interacting protein 2 homolog A,2.57E-03,7.18E-01
Ddhd1,F8WIJ5_MOUSE|F8WIJ5,Phospholipase DDHD1,2.45E-04,1.41E+00
Fam91a1,F91A1_MOUSE|Q3UVG3,Protein FAM91A1,1.19E-03,9.22E-01
Fam49a,FA49A_MOUSE|Q8BHZ0,Protein FAM49A,1.46E-02,5.69E-01
Fam49b,FA49B_MOUSE|Q921M7,Protein FAM49B,1.80E-02,5.54E-01
Fam92b,FA92B_MOUSE|Q3V2J0,Protein FAM92B,2.45E-03,5.40E-01
Fam98b,FA98B_MOUSE|Q80VD1,Protein FAM98B,1.07E-02,4.13E-01
Fah,FAAA_MOUSE|P35505,Fumarylacetoacetase,1.23E-01,3.19E-01
Faah,FAAH1_MOUSE|O08914,Fatty-acid amide hydrolase 1,2.76E-03,4.16E-01
Mcat,FABD_MOUSE|Q8R3F5,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",6.90E-04,5.23E-01
Fabp5,FABP5_MOUSE|Q05816,"Fatty acid-binding protein, epidermal",2.87E-03,4.73E-01
Fabp7,FABP7_MOUSE|P51880,"Fatty acid-binding protein, brain",7.41E-01,-1.56E-01
Fabp3,FABPH_MOUSE|P11404,"Fatty acid-binding protein, heart",6.37E-02,3.13E-01
Zmpste24,FACE1_MOUSE|Q80W54,CAAX prenyl protease 1 homolog,8.10E-02,3.26E-01
Far1,FACR1_MOUSE|Q922J9,Fatty acyl-CoA reductase 1,1.55E-01,3.80E-01
Flad1,FAD1_MOUSE|Q8R123,FAD synthase,5.99E-02,5.77E-01
Faf1,FAF1_MOUSE|P54731,FAS-associated factor 1,8.33E-04,7.39E-01
Faf2,FAF2_MOUSE|Q3TDN2,FAS-associated factor 2,7.93E-02,3.92E-01
Fahd1,FAHD1_MOUSE|Q8R0F8,"Acylpyruvase FAHD1, mitochondrial",1.88E-01,3.82E-01
Fahd2,FAHD2_MOUSE|Q3TC72,Fumarylacetoacetate hydrolase domain-containing protein 2A,1.24E-01,3.94E-01
Ptk2,FAK1_MOUSE|P34152,Focal adhesion kinase 1,2.44E-03,6.89E-01
Ptk2b,FAK2_MOUSE|Q9QVP9,Protein-tyrosine kinase 2-beta,7.88E-03,6.07E-01
Farp1,FARP1_MOUSE|F8VPU2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",2.00E-02,4.82E-01
Fasn,FAS_MOUSE|P19096,Fatty acid synthase,4.55E-03,4.03E-01
Fbll1,FBLL1_MOUSE|Q80WS3,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,3.66E-02,4.18E-01
Fnbp1l,FBP1L_MOUSE|Q8K012,Formin-binding protein 1-like,1.31E-03,1.15E+00
Fbl,FBRL_MOUSE|P35550,rRNA 2'-O-methyltransferase fibrillarin,2.14E-01,2.30E-01
Fbxo2,FBX2_MOUSE|Q80UW2,F-box only protein 2,1.94E-01,6.49E-01
Fbxo22,FBX22_MOUSE|Q78JE5,F-box only protein 22,2.47E-02,6.08E-01
Fbxo3,FBX3_MOUSE|Q9DC63,F-box only protein 3,4.45E-03,6.88E-01
Fbxo38,FBX38_MOUSE|Q8BMI0,F-box only protein 38,1.42E-03,7.71E-01
Fbxo41,FBX41_MOUSE|Q6NS60,F-box only protein 41,6.22E-04,1.50E+00
Fbxo42,FBX42_MOUSE|Q6PDJ6,F-box only protein 42,1.04E-03,8.61E-01
Fbxo6,FBX6_MOUSE|Q9QZN4,F-box only protein 6,5.51E-01,9.90E-02
Fbxl4,FBXL4_MOUSE|Q8BH70,F-box/LRR-repeat protein 4,9.58E-04,6.99E-01
Fchsd2,FCSD2_MOUSE|Q3USJ8,F-BAR and double SH3 domains protein 2,1.38E-03,1.22E+00
Fen1,FEN1_MOUSE|P39749,Flap endonuclease 1,2.50E-01,7.23E-02
Fermt2,FERM2_MOUSE|Q8CIB5,Fermitin family homolog 2,5.15E-02,3.63E-01
Ahsg,FETUA_MOUSE|P29699,Alpha-2-HS-glycoprotein,1.09E-01,-3.56E-01
Fgd1,FGD1_MOUSE|P52734,"FYVE, RhoGEF and PH domain-containing protein 1",5.39E-04,1.55E+00
Fgd4,FGD4_MOUSE|Q91ZT5,"FYVE, RhoGEF and PH domain-containing protein 4",8.96E-04,1.29E+00
Fgf1,FGF1_MOUSE|P61148,Fibroblast growth factor 1,6.70E-02,2.90E-01
Fgf12,FGF12_MOUSE|P61329,Fibroblast growth factor 12,1.05E-04,7.88E-01
Fgfr1op2,FGOP2_MOUSE|Q9CRA9,FGFR1 oncogene partner 2 homolog,7.59E-04,1.38E+00
Fgfr1op2,FGOP2_MOUSE|Q9CRA9-2,FGFR1 oncogene partner 2 homolog (isoform 2),7.54E-04,1.27E+00
Fhl1,FHL1_MOUSE|P97447,Four and a half LIM domains protein 1,8.58E-04,1.32E+00
Fignl1,FIGL1_MOUSE|Q8BPY9,Fidgetin-like protein 1,8.11E-04,8.21E-01
Fip1l1,FIP1_MOUSE|Q9D824,Pre-mRNA 3'-end-processing factor FIP1,4.33E-04,1.32E+00
Fis1,FIS1_MOUSE|Q9CQ92,Mitochondrial fission 1 protein,2.19E-01,4.21E-01
Fkbp15,FKB15_MOUSE|Q6P9Q6,FK506-binding protein 15,6.70E-04,1.10E+00
Fkbp1a,FKB1A_MOUSE|P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A,4.07E-02,2.38E-01
Fkbp2,FKBP2_MOUSE|P45878,Peptidyl-prolyl cis-trans isomerase FKBP2,1.32E-01,1.59E-01
Fkbp3,FKBP3_MOUSE|Q62446,Peptidyl-prolyl cis-trans isomerase FKBP3,6.63E-04,5.07E-01
Fkbp4,FKBP4_MOUSE|P30416,Peptidyl-prolyl cis-trans isomerase FKBP4,1.42E-01,3.19E-01
Fkbp5,FKBP5_MOUSE|Q64378,Peptidyl-prolyl cis-trans isomerase FKBP5,1.39E-03,7.13E-01
Fkbp8,FKBP8_MOUSE|O35465,Peptidyl-prolyl cis-trans isomerase FKBP8,8.88E-04,9.13E-01
Flii,FLII_MOUSE|Q9JJ28,Protein flightless-1 homolog,2.49E-03,5.49E-01
Flna,FLNA_MOUSE|Q8BTM8,Filamin-A,8.44E-01,-1.51E-01
Flnb,FLNB_MOUSE|Q80X90,Filamin-B,2.45E-01,8.72E-02
Flnc,FLNC_MOUSE|Q8VHX6,Filamin-C,2.26E-03,-2.05E-01
Flot1,FLOT1_MOUSE|O08917,Flotillin-1,1.13E-02,4.99E-01
Flot2,FLOT2_MOUSE|Q60634,Flotillin-2,2.07E-03,7.60E-01
NA,FLRT2_MOUSE|Q8BLU0,NA,2.20E-03,7.76E-01
Fmn1,FMN1_MOUSE|Q05860,Formin-1,1.58E-04,1.46E+00
Fmn2,FMN2_MOUSE|Q9JL04,Formin-2,1.03E-03,1.23E+00
NA,FMNL1_MOUSE|Q9JL26,NA,2.65E-03,6.74E-01
Fmnl2,FMNL2_MOUSE|A2APV2,Formin-like protein 2,4.60E-02,4.39E-01
Fmr1,FMR1_MOUSE|P35922,Fragile X mental retardation protein 1 homolog,5.33E-03,5.53E-01
Fn3k,FN3K_MOUSE|Q9ER35,Fructosamine-3-kinase,8.45E-03,5.18E-01
Fnbp1,FNBP1_MOUSE|Q80TY0,Formin-binding protein 1,2.68E-04,1.56E+00
Foxj3,FOXJ3_MOUSE|Q8BUR3,Forkhead box protein J3,1.32E-02,9.59E-01
Foxk1,FOXK1_MOUSE|P42128,Forkhead box protein K1,1.53E-03,1.28E+00
Foxo3,FOXO3_MOUSE|Q9WVH4,Forkhead box protein O3,1.55E-03,1.33E+00
Fdps,FPPS_MOUSE|Q920E5,Farnesyl pyrophosphate synthase,1.47E-01,3.61E-01
Fth1,FRIH_MOUSE|P09528,Ferritin heavy chain,5.65E-02,3.50E-01
Frmd4a,FRM4A_MOUSE|Q8BIE6,FERM domain-containing protein 4A,1.03E-03,9.20E-01
Frmpd4,FRPD4_MOUSE|A2AFR3,FERM and PDZ domain-containing protein 4,4.34E-03,1.21E+00
Frrs1l,FRS1L_MOUSE|B1AXV0,DOMON domain-containing protein FRRS1L,2.51E-01,2.76E-01
Frs2,FRS2_MOUSE|Q8C180,Fibroblast growth factor receptor substrate 2,9.56E-04,1.21E+00
Frs3,FRS3_MOUSE|Q91WJ0,Fibroblast growth factor receptor substrate 3,5.23E-04,1.35E+00
Fry,FRY_MOUSE|E9Q8I9,Protein furry homolog,2.97E-03,6.61E-01
Fscn1,FSCN1_MOUSE|Q61553,Fascin,1.82E-01,3.06E-01
Fsd1,FSD1_MOUSE|Q7TPM6,Fibronectin type III and SPRY domain-containing protein 1,1.83E-02,5.66E-01
Fsd1l,FSD1L_MOUSE|Q8BYN5,FSD1-like protein,3.76E-04,6.99E-01
Fto,FTO_MOUSE|Q8BGW1,Alpha-ketoglutarate-dependent dioxygenase FTO,1.49E-04,7.01E-01
Fubp1,FUBP1_MOUSE|Q91WJ8,Far upstream element-binding protein 1,3.46E-04,8.84E-01
Khsrp,FUBP2_MOUSE|Q3U0V1,Far upstream element-binding protein 2,2.69E-04,1.10E+00
NA,FUK_MOUSE|Q7TMC8,NA,4.49E-03,4.70E-01
Fh,FUMH_MOUSE|P97807,"Fumarate hydratase, mitochondrial",1.35E-01,5.03E-01
Fundc2,FUND2_MOUSE|Q9D6K8,FUN14 domain-containing protein 2,2.09E-01,4.26E-01
Fus,FUS_MOUSE|P56959,RNA-binding protein FUS,3.72E-04,9.66E-01
Fut8,FUT8_MOUSE|Q9WTS2,"Alpha-(1,6)-fucosyltransferase",1.22E-02,4.49E-01
Fbxl16,FXL16_MOUSE|A2RT62,F-box/LRR-repeat protein 16,1.09E-03,7.14E-01
Fxr1,FXR1_MOUSE|Q61584,Fragile X mental retardation syndrome-related protein 1,4.63E-03,3.98E-01
Fxr2,FXR2_MOUSE|Q9WVR4,Fragile X mental retardation syndrome-related protein 2,3.59E-04,8.61E-01
Fyn,FYN_MOUSE|P39688,Tyrosine-protein kinase Fyn,2.76E-02,4.40E-01
Pikfyve,FYV1_MOUSE|Q9Z1T6,1-phosphatidylinositol 3-phosphate 5-kinase,9.56E-04,9.07E-01
G3bp1,G3BP1_MOUSE|P97855,Ras GTPase-activating protein-binding protein 1,1.08E-03,9.12E-01
G3bp2,G3BP2_MOUSE|P97379,Ras GTPase-activating protein-binding protein 2,4.03E-04,1.31E+00
Brsk2,G3FEZ6_MOUSE|G3FEZ6,BR serine/threonine kinase 2 transcript variant 5,5.00E-04,8.17E-01
Gapdh,G3P_MOUSE|P16858,Glyceraldehyde-3-phosphate dehydrogenase,1.49E-01,3.90E-01
Gapdhs,G3PT_MOUSE|Q64467,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",1.35E-01,4.05E-01
Kif1a,G3UW47_MOUSE|G3UW47,Kinesin family member 1A,2.06E-03,5.88E-01
A230065H16Rik,G3UW55_MOUSE|G3UW55,MCG14937,6.32E-04,1.32E+00
Usp32,G3UZF4_MOUSE|G3UZF4,Protein Usp32,1.19E-03,6.72E-01
Map2,G3UZJ2_MOUSE|G3UZJ2,Microtubule-associated protein,5.88E-04,1.69E+00
Tubb5,G3UZR1_MOUSE|G3UZR1,Tubulin beta-5 chain,4.48E-01,6.40E-02
2210016F16Rik,G3X8U3_MOUSE|G3X8U3,MCG6895,3.09E-02,4.48E-01
Naa15,G3X8Y3_MOUSE|G3X8Y3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",1.23E-02,4.61E-01
Sec24c,G3X972_MOUSE|G3X972,Protein Sec24c,7.25E-03,4.24E-01
Slc8a1,G3X9J1_MOUSE|G3X9J1,Sodium/calcium exchanger 1,6.26E-03,7.85E-01
Pnmal2,G3X9N3_MOUSE|G3X9N3,MCG16539,8.07E-04,1.44E+00
Kbtbd2,G3X9X1_MOUSE|G3X9X1,"MCG13111, isoform CRA_a",1.08E-03,7.42E-01
Pcf11,G3X9Z4_MOUSE|G3X9Z4,Cleavage and polyadenylation factor subunit homolog (S. cerevisiae),3.59E-03,9.62E-01
Grip2,G3XA20_MOUSE|G3XA20,"MCG130431, isoform CRA_a",4.60E-04,1.49E+00
Raph1,G5E867_MOUSE|G5E867,"MCG116540, isoform CRA_b",1.02E-03,1.33E+00
Pak1,G5E884_MOUSE|G5E884,Serine/threonine-protein kinase PAK 1,7.65E-04,1.07E+00
Edc4,G5E896_MOUSE|G5E896,"Enhancer of mRNA decapping 4, isoform CRA_b",5.85E-04,1.51E+00
Opcml,G5E8G3_MOUSE|G5E8G3,MCG9827,8.46E-02,2.54E-01
Arfip1,G5E8V9_MOUSE|G5E8V9,MCG18094,1.31E-03,7.29E-01
G6pdx,G6PD1_MOUSE|Q00612,Glucose-6-phosphate 1-dehydrogenase X,1.58E-03,5.17E-01
Gpi,G6PI_MOUSE|P06745,Glucose-6-phosphate isomerase,1.66E-02,5.80E-01
Gas2l1,GA2L1_MOUSE|Q8JZP9,GAS2-like protein 1,6.67E-03,6.82E-01
Gab1,GAB1_MOUSE|Q9QYY0,GRB2-associated-binding protein 1,4.34E-04,7.90E-01
Gab2,GAB2_MOUSE|Q9Z1S8,GRB2-associated-binding protein 2,4.92E-04,1.48E+00
Gabbr1,GABR1_MOUSE|Q9WV18,Gamma-aminobutyric acid type B receptor subunit 1,3.09E-04,1.20E+00
Gabbr2,GABR2_MOUSE|Q80T41,Gamma-aminobutyric acid type B receptor subunit 2,2.70E-04,1.13E+00
Abat,GABT_MOUSE|P61922,"4-aminobutyrate aminotransferase, mitochondrial",3.24E-02,5.52E-01
Gak,GAK_MOUSE|Q99KY4,Cyclin-G-associated kinase,2.24E-04,1.16E+00
NA,GALD1_MOUSE|Q8BFQ8,NA,4.17E-04,6.36E-01
Gale,GALE_MOUSE|Q8R059,UDP-glucose 4-epimerase,3.92E-02,4.47E-01
Galk1,GALK1_MOUSE|Q9R0N0,Galactokinase,1.97E-01,3.03E-01
Galnt2,GALT2_MOUSE|Q6PB93,Polypeptide N-acetylgalactosaminyltransferase 2,3.20E-01,8.34E-02
Gamt,GAMT_MOUSE|O35969,Guanidinoacetate N-methyltransferase,1.59E-03,8.26E-01
Gan,GAN_MOUSE|Q8CA72,Gigaxonin,1.47E-02,4.08E-01
Ganab,GANAB_MOUSE|Q8BHN3,Neutral alpha-glucosidase AB,2.03E-02,3.68E-01
Ganab,GANAB_MOUSE|Q8BHN3-2,Neutral alpha-glucosidase AB (isoform 2),8.56E-03,5.37E-01
Mcm3ap,GANP_MOUSE|Q9WUU9,Germinal-center associated nuclear protein,2.96E-04,1.66E+00
Gapvd1,GAPD1_MOUSE|Q6PAR5,GTPase-activating protein and VPS9 domain-containing protein 1,1.14E-03,9.84E-01
NA,GARE1_MOUSE|Q3UFT3,NA,7.01E-04,1.23E+00
Garnl3,GARL3_MOUSE|Q3V0G7,GTPase-activating Rap/Ran-GAP domain-like protein 3,6.69E-04,1.06E+00
NA,GARS_MOUSE|Q9CZD3,NA,1.30E-02,4.16E-01
Gas7,GAS7_MOUSE|Q60780,Growth arrest-specific protein 7,6.49E-04,6.98E-01
Gprasp1,GASP1_MOUSE|Q5U4C1,G-protein coupled receptor-associated sorting protein 1,1.48E-03,1.30E+00
Gatb,GATB_MOUSE|Q99JT1,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",3.16E-02,4.41E-01
Gatm,GATM_MOUSE|Q9D964,"Glycine amidinotransferase, mitochondrial",3.59E-01,2.69E-01
Gba2,GBA2_MOUSE|Q69ZF3,Non-lysosomal glucosylceramidase,1.14E-02,5.36E-01
Gnb1,GBB1_MOUSE|P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,3.91E-02,4.31E-01
Gnb2,GBB2_MOUSE|P62880,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,6.31E-02,3.61E-01
Gnb4,GBB4_MOUSE|P29387,Guanine nucleotide-binding protein subunit beta-4,4.68E-02,3.68E-01
Gng12,GBG12_MOUSE|Q9DAS9,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,5.99E-01,9.09E-02
Gng2,GBG2_MOUSE|P63213,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,6.67E-02,5.73E-01
Gng3,GBG3_MOUSE|P63216,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3,9.91E-03,5.52E-01
Gng7,GBG7_MOUSE|Q61016,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,7.70E-01,1.13E-01
Gbp2,GBP2_MOUSE|Q9Z0E6,Interferon-induced guanylate-binding protein 2,8.86E-01,-1.10E-01
Gabra1,GBRA1_MOUSE|P62812,Gamma-aminobutyric acid receptor subunit alpha-1,4.40E-04,1.31E+00
Gabra3,GBRA3_MOUSE|P26049,Gamma-aminobutyric acid receptor subunit alpha-3,6.38E-04,9.69E-01
Gabra4,GBRA4_MOUSE|Q9D6F4,Gamma-aminobutyric acid receptor subunit alpha-4,7.91E-04,7.09E-01
Gabrb1,GBRB1_MOUSE|P50571,Gamma-aminobutyric acid receptor subunit beta-1,2.25E-04,9.18E-01
Gabrb2,GBRB2_MOUSE|P63137,Gamma-aminobutyric acid receptor subunit beta-2,1.53E-04,8.73E-01
Gabrb3,GBRB3_MOUSE|P63080,Gamma-aminobutyric acid receptor subunit beta-3,8.40E-03,5.78E-01
Gabrg2,GBRG2_MOUSE|P22723,Gamma-aminobutyric acid receptor subunit gamma-2,3.08E-04,1.01E+00
Gabarapl2,GBRL2_MOUSE|P60521,Gamma-aminobutyric acid receptor-associated protein-like 2,1.12E-02,4.03E-01
Gcc2,GCC2_MOUSE|Q8CHG3,GRIP and coiled-coil domain-containing protein 2,8.51E-04,1.03E+00
Gcdh,GCDH_MOUSE|Q60759,"Glutaryl-CoA dehydrogenase, mitochondrial",5.70E-02,4.85E-01
NA,GCN1_MOUSE|E9PVA8,NA,6.28E-03,4.34E-01
Tubgcp2,GCP2_MOUSE|Q921G8,Gamma-tubulin complex component 2,2.09E-03,6.80E-01
Tubgcp3,GCP3_MOUSE|P58854,Gamma-tubulin complex component 3,4.08E-03,5.07E-01
Acbd3,GCP60_MOUSE|Q8BMP6,Golgi resident protein GCP60,2.70E-02,4.18E-01
Nr3c1,GCR_MOUSE|P06537,Glucocorticoid receptor,1.87E-03,1.28E+00
Gcsh,GCSH_MOUSE|Q91WK5,"Glycine cleavage system H protein, mitochondrial",7.11E-01,5.09E-02
Gldc,GCSP_MOUSE|Q91W43,"Glycine dehydrogenase (decarboxylating), mitochondrial",3.18E-02,3.57E-01
Gucy1a3,GCYA3_MOUSE|Q9ERL9,Guanylate cyclase soluble subunit alpha-3,1.09E-03,8.31E-01
Gucy1b3,GCYB1_MOUSE|O54865,Guanylate cyclase soluble subunit beta-1,6.13E-03,5.91E-01
Gdap1l1,GD1L1_MOUSE|Q8VE33,Ganglioside-induced differentiation-associated protein 1-like 1,1.97E-02,5.82E-01
Gdap1,GDAP1_MOUSE|O88741,Ganglioside-induced differentiation-associated protein 1,5.30E-02,4.45E-01
Gde1,GDE1_MOUSE|Q9JL56,Glycerophosphodiester phosphodiesterase 1,9.98E-01,-1.00E-01
Gdi1,GDIA_MOUSE|P50396,Rab GDP dissociation inhibitor alpha,3.27E-02,4.79E-01
Gdi2,GDIB_MOUSE|Q61598,Rab GDP dissociation inhibitor beta,2.77E-02,4.61E-01
Arhgdia,GDIR1_MOUSE|Q99PT1,Rho GDP-dissociation inhibitor 1,1.55E-01,3.14E-01
Arhgdib,GDIR2_MOUSE|Q61599,Rho GDP-dissociation inhibitor 2,5.76E-03,2.92E-01
Serpine2,GDN_MOUSE|Q07235,Glia-derived nexin,5.29E-01,1.76E-01
Gdpd1,GDPD1_MOUSE|Q9CRY7,Glycerophosphodiester phosphodiesterase domain-containing protein 1,1.60E-01,2.82E-01
Gdpgp1,GDPP1_MOUSE|Q3TLS3,GDP-D-glucose phosphorylase 1,1.00E-01,4.49E-01
Gsn,GELS_MOUSE|P13020,Gelsolin,8.68E-01,-8.83E-03
Gemin5,GEMI5_MOUSE|Q8BX17,Gem-associated protein 5,5.16E-04,1.01E+00
Gphn,GEPH_MOUSE|Q8BUV3,Gephyrin,6.01E-04,1.06E+00
Gfap,GFAP_MOUSE|P03995,Glial fibrillary acidic protein,1.25E-01,-7.20E-01
Gfod1,GFOD1_MOUSE|Q3UHD2,Glucose-fructose oxidoreductase domain-containing protein 1,1.30E-02,5.58E-01
Gfpt1,GFPT1_MOUSE|P47856,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,1.11E-02,1.42E-01
Gga1,GGA1_MOUSE|Q8R0H9,ADP-ribosylation factor-binding protein GGA1,8.75E-04,1.11E+00
Gga3,GGA3_MOUSE|Q8BMI3,ADP-ribosylation factor-binding protein GGA3,6.09E-04,1.17E+00
